token,loss
foxes</w>,-2.843557119369507
fluffy</w>,-2.8610239028930664
?:</w>,-2.864588975906372
mela</w>,-2.867162704467773
otta,-2.8741490840911865
pet</w>,-2.87580680847168
yers</w>,-2.8761746883392334
matti,-2.8840320110321045
roar,-2.902764320373535
rion</w>,-2.910629749298096
feral</w>,-2.913687467575073
rat,-2.913746118545532
cataly,-2.919442892074585
esha</w>,-2.939938306808472
bradley</w>,-2.94222092628479
blin</w>,-2.9593582153320312
humidity</w>,-2.968362331390381
mow</w>,-2.9962592124938965
