token,loss
rump</w>,-2.5782718658447266
wald,-2.581331968307495
palms</w>,-2.5818090438842773
sheep</w>,-2.5822603702545166
âĸ,-2.584429979324341
lud,-2.587864398956299
creek,-2.594667673110962
korn,-2.596608161926269
compu,-2.6042709350585938
balkans</w>,-2.61600661277771
melt,-2.6168344020843506
ault,-2.6181561946868896
jungle,-2.6274120807647705
finger,-2.6296706199646
tsford</w>,-2.6312389373779297
ening</w>,-2.639366626739502
Ă</w>,-2.64207410812378
bre,-2.6566436290740967
aat</w>,-2.6620137691497803
awareness,-2.670985698699951
waters</w>,-2.673438310623169
wrec,-2.6796042919158936
stormy</w>,-2.68725323677063
elen,-2.687678813934326
atar</w>,-2.6878223419189453
minu,-2.6883480548858643
penny,-2.694962739944458
zir,-2.6973185539245605
algeria</w>,-2.6997740268707275
iw,-2.7041077613830566
limb,-2.718847274780273
kush</w>,-2.723632574081421
clearer</w>,-2.7270750999450684
algae</w>,-2.728827714920044
squirrel</w>,-2.730453491210937
dartmoor</w>,-2.7327730655670166
dimit,-2.735008716583252
iland</w>,-2.7375576496124268
âĻ¦</w>,-2.7385761737823486
hedge,-2.741144895553589
monte,-2.74544358253479
piling</w>,-2.749106168746948
watercolour</w>,-2.749255895614624
integral</w>,-2.7533674240112305
rattle,-2.7539517879486084
suffering</w>,-2.76090669631958
Ĳ,-2.764033317565918
maple,-2.770602941513061
fod,-2.77369236946106
lumpur</w>,-2.776896953582764
country</w>,-2.7817277908325195
borneo</w>,-2.7825512886047363
noah,-2.7855563163757324
vik</w>,-2.793008327484131
agor,-2.799000024795532
pav,-2.802276611328125
mud,-2.803429126739502
owls</w>,-2.8122236728668213
ambed,-2.8244569301605225
kker</w>,-2.831364393234253
gesture</w>,-2.8367090225219727
bes</w>,-2.8386261463165283
mediterranean</w>,-2.839695692062378
weasel</w>,-2.8496956825256348
crouch</w>,-2.854109764099121
sday,-2.859212636947632
ki</w>,-2.8627727031707764
julie,-2.870691537857056
forster</w>,-2.8764562606811523
lakedistrict</w>,-2.878213882446289
noto,-2.881290912628174
bumblebee</w>,-2.881314992904663
rene</w>,-2.8842668533325195
yqr</w>,-2.889944076538086
reen,-2.9003939628601074
gator,-2.901034355163574
withdrawal</w>,-2.9046576023101807
footprint</w>,-2.9100117683410645
ðŁĳ¨âĢį,-2.9139320850372314
sf</w>,-2.92109489440918
badger,-2.9252147674560547
dinosaur</w>,-2.932775020599365
campo</w>,-2.9333181381225586
quoting</w>,-2.933342695236206
studyabroad</w>,-2.933931350708008
bridgeport</w>,-2.9369466304779053
cliff</w>,-2.936967372894287
rek,-2.939684629440308
galve,-2.9399845600128174
failed</w>,-2.9441962242126465
vn,-2.9464125633239746
mura,-2.9503173828125
infra,-2.9564309120178223
spher,-2.960113525390625
ather,-2.962776660919189
zzz</w>,-2.968646287918091
redon,-2.9715187549591064
arugula</w>,-2.972373962402344
marble,-2.9749128818511963
prett,-2.976123571395874
pinn,-2.9790594577789307
cornwall</w>,-2.989806890487671
bsbibotany</w>,-2.9898719787597656
ole,-2.992237329483032
thusi,-2.9959094524383545
